2024-09-12 09:09:21,518 [Worker-11: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2024-09-12 09:15:57,537 [Worker-8: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2024-09-12 09:28:56,864 [Worker-31: Import Getting Started Content] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.siemens:flight-search-service:0.0.1-SNAPSHOT @ /Users/abhinandanchivate2000gmail.com/siemens/flight-search-service/pom.xml.
2024-09-12 09:28:58,785 [Worker-31: Import Getting Started Content] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /flight-search-service/src/main/java
2024-09-12 09:28:58,785 [Worker-31: Import Getting Started Content] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /flight-search-service/src/main/resources
2024-09-12 09:28:58,787 [Worker-31: Import Getting Started Content] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /flight-search-service/src/main/resources
2024-09-12 09:28:58,791 [Worker-31: Import Getting Started Content] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /flight-search-service/src/test/java
2024-09-12 09:28:58,792 [Worker-31: Import Getting Started Content] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /flight-search-service/src/test/resources
2024-09-12 09:29:00,848 [Worker-31: Import Getting Started Content] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 9 sec
2024-09-12 09:29:00,929 [Worker-31: Import Getting Started Content] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2024-09-12 09:29:02,706 [Worker-31: Import Getting Started Content] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.siemens:flight-search-service:0.0.1-SNAPSHOT @ /Users/abhinandanchivate2000gmail.com/siemens/flight-search-service/pom.xml.
2024-09-12 09:29:05,187 [Worker-31: Import Getting Started Content] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /flight-search-service/src/main/java
2024-09-12 09:29:05,192 [Worker-31: Import Getting Started Content] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /flight-search-service/src/main/resources
2024-09-12 09:29:05,194 [Worker-31: Import Getting Started Content] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /flight-search-service/src/main/resources
2024-09-12 09:29:05,196 [Worker-31: Import Getting Started Content] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /flight-search-service/src/test/java
2024-09-12 09:29:05,197 [Worker-31: Import Getting Started Content] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /flight-search-service/src/test/resources
2024-09-12 09:29:07,449 [Worker-31: Import Getting Started Content] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed for 1 poms: local refresh takes 0.00 sec, refresh facades takes 4.00 sec, update config takes 0.00 sec 
2024-09-12 09:29:10,912 [Worker-31: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 1 resource from src/main/resources to target/classes
